"Feestdag","Datum"
"Nieuwjaarsdag 2023","01 Jan 2023"
"1e Paasdag 2023","09 Apr 2023"
"2e Paasdag 2023","10 Apr 2023"
"Dag van de Arbeid 2023","01 May 2023"
"Hemelvaart 2023","18 May 2023"
"1e Pinksterdag 2023","28 May 2023"
"2e Pinksterdag 2023","29 May 2023"
"Nationale feestdag 2023","21 Jul 2023"
"Maria Hemelvaart 2023","15 Aug 2023"
"Allerheiligen 2023","01 Nov 2023"
"Wapenstilstand 2023","11 Nov 2023"
"1e Kerstdag 2023","25 Dec 2023"
"Nieuwjaarsdag 2021","01 Jan 2021"
"1e Paasdag 2021","04 Apr 2021"
"2e Paasdag 2021","05 Apr 2021"
"Dag van de Arbeid 2021","01 May 2021"
"Hemelvaart 2021","13 May 2021"
"1e Pinksterdag 2021","23 May 2021"
"2e Pinksterdag 2021","24 May 2021"
"Nationale feestdag 2021","21 Jul 2021"
"Maria Hemelvaart 2021","15 Aug 2021"
"Allerheiligen 2021","01 Nov 2021"
"Wapenstilstand 2021","11 Nov 2021"
"1e Kerstdag 2021","25 Dec 2021"
"Nieuwjaarsdag 2020","01 Jan 2020"
"1e Paasdag 2020","12 Apr 2020"
"2e Paasdag 2020","13 Apr 2020"
"Dag van de Arbeid 2020","01 May 2020"
"Hemelvaart 2020","21 May 2020"
"1e Pinksterdag 2020","31 May 2020"
"2e Pinksterdag 2020","01 Jun 2020"
"Nationale feestdag 2020","21 Jul 2020"
"Maria Hemelvaart 2020","15 Aug 2020"
"Allerheiligen 2020","01 Nov 2020"
"Wapenstilstand 2020","11 Nov 2020"
"1e Kerstdag 2020","25 Dec 2020"
"Nieuwjaarsdag 2019","01 Jan 2019"
"1e Paasdag 2019","21 Apr 2019"
"2e Paasdag 2019","22 Apr 2019"
"Dag van de Arbeid 2019","01 May 2019"
"Hemelvaart 2019","30 May 2019"
"1e Pinksterdag 2019","09 Jun 2019"
"2e Pinksterdag 2019","10 Jun 2019"
"Nationale feestdag 2019","21 Jul 2019"
"Maria Hemelvaart 2019","15 Aug 2019"
"Allerheiligen 2019","01 Nov 2019"
"Wapenstilstand 2019","11 Nov 2019"
"1e Kerstdag 2019","25 Dec 2019"
"Nieuwjaarsdag 2022","01 Jan 2022"
"1e Paasdag 2022","17 Apr 2022"
"2e Paasdag 2022","18 Apr 2022"
"Dag van de Arbeid 2022","01 May 2022"
"Hemelvaart 2022","26 May 2022"
"1e Pinksterdag 2022","05 Jun 2022"
"2e Pinksterdag 2022","06 Jun 2022"
"Nationale feestdag 2022","21 Jul 2022"
"Maria Hemelvaart 2022","15 Aug 2022"
"Allerheiligen 2022","01 Nov 2022"
"Wapenstilstand 2022","11 Nov 2022"
"1e Kerstdag 2022","25 Dec 2022"